No,氏名,フリガナ,所属,メールアドレス,参加区分,備考
1,田中太郎,タナカタロウ,株式会社ABC,tanaka@abc.co.jp,会場参加,
2,佐藤花子,サトウハナコ,DEF株式会社,sato@def.co.jp,オンライン参加,
3,鈴木一郎,スズキイチロウ,GHI合同会社,suzuki@ghi.co.jp,会場参加,車椅子利用
4,高橋美咲,タカハシミサキ,JKL株式会社,takahashi@jkl.co.jp,会場参加,
5,伊藤健太,イトウケンタ,MNO株式会社,ito@mno.co.jp,オンライン参加,
6,渡辺麻衣,ワタナベマイ,PQR株式会社,watanabe@pqr.co.jp,会場参加,
7,山本修平,ヤマモトシュウヘイ,STU株式会社,yamamoto@stu.co.jp,会場参加,懇親会参加
8,中村あゆみ,ナカムラアユミ,VWX株式会社,nakamura@vwx.co.jp,オンライン参加,
9,小林大輔,コバヤシダイスケ,YZA株式会社,kobayashi@yza.co.jp,会場参加,懇親会参加
10,加藤恵,カトウメグミ,BCD株式会社,kato@bcd.co.jp,会場参加,
